CountryId,City,Latitude,Longtidue
24,"Dilbeek","50.85","4.267"
24,"Grimbergen","50.933","4.383"
24,"Keerbergen","51","4.617"
24,"Koningslo","50.9","4.367"
24,"Landen","50.75","5.083"
24,"Overijse","50.767","4.533"
24,"Tienen","50.8","4.95"
24,"Vilvoorde","50.933","4.433"
25,"Belize","17.483","-88.183"
25,"Belize City","17.483","-88.183"
25,"Belmopan","17.25","-88.767"
25,"San Ignacio","17.156","-89.071"
25,"Orange Walk","18.067","-88.55"
25,"Punta Gorda","16.1","-88.8"
26,"Natitingou","10.317","1.367"
26,"Cotonou","6.35","2.433"
26,"Porto-Novo","6.483","2.617"
27,"Hamilton","32.294","-64.784"
27,"Saint George","32.382","-64.678"
27,"Somerset","32.298","-64.868"
29,"Sucre","-19.033","-65.283"
29,"Villazon","-20.533","-62.267"
29,"Aiquile","-18.167","-65.167"
29,"Chimore","-16.983","-65.133"
29,"Cochabamba","-17.383","-66.15"
29,"Lagunillas","-16.833","-66.633"
29,"Mizque","-17.933","-65.317"
29,"Puerto Patino","-16.617","-65.783"
29,"Puerto Villarroel","-16.867","-64.783"
29,"Punata","-17.55","-65.833"
29,"Chulumani","-14.883","-66.75"
29,"Cotoca","-11.333","-66.233"
29,"Guayaramerin","-10.8","-65.383"
29,"Riberalta","-10.983","-66.1"
29,"San Borja","-12.583","-64.233"
29,"Apolo","-14.717","-68.517"
29,"Chara�a","-17.6","-69.467"
29,"Corioco","-16.167","-67.733"
29,"La Paz","-12.967","-67.017"
29,"Machacamarca","-16.5","-68.483"
29,"Uyuni","-17.433","-66.917"
29,"Vinto","-17.1","-69.233"
29,"Yolosa","-16.233","-67.733"
29,"Caracollo","-17.65","-67.167"
29,"Oruro","-17.983","-67.15"
29,"Portachuelo","-11.267","-66.267"
29,"Trinidad","-11.083","-67.417"
29,"Atocha","-20.933","-66.233"
29,"Potosi","-19.583","-65.75"
29,"Tupiza","-21.45","-65.717"
29,"Puerto Grether","-17.183","-64.35"
29,"San Jose de Chiquitos","-17.85","-60.783"
29,"Santa Ana","-17.383","-61.483"
29,"Santa Cruz","-21.75","-65.317"
29,"Santa Rosa del Sara","-17.117","-63.583"
29,"Bermejo","-22.167","-64.7"
29,"Tarija","-21.517","-64.75"
29,"Yacuiba","-22.033","-63.75"
30,"Banja Luka","44.776","17.186"
30,"Bijeljina","44.76","19.22"
30,"Brcko","44.879","18.811"
30,"Gradiska","45.147","17.255"
30,"Bugojno","44.057","17.451"
30,"Fojnica","43.963","17.898"
30,"Gorazde","43.667","18.976"
30,"Livno","43.827","17.008"
30,"Mostar","43.343","17.808"
30,"Sarajevo","43.85","18.383"
30,"Tuzla","44.543","18.669"
31,"Gaborone","-24.667","25.917"
